Date,Open,High,Low,Close,Adj Close,Volume
2004-11-22,1.922000,1.984000,1.879000,1.954500,1.954500,491056000
2004-11-29,1.980000,2.037000,1.885500,2.004500,2.004500,790146000
2004-12-06,1.986500,2.005000,1.899500,1.952500,1.952500,651210000
2004-12-13,1.966500,2.050000,1.941000,2.000500,2.000500,577574000
2004-12-20,1.996500,2.024500,1.927500,1.946500,1.946500,418564000
2004-12-27,1.976000,2.284000,1.973500,2.214500,2.214500,1420856000
2005-01-03,2.247500,2.272000,2.045000,2.116000,2.116000,1135134000
2005-01-10,2.097000,2.233000,2.041000,2.227500,2.227500,1065342000
2005-01-17,2.214500,2.250000,2.051000,2.058000,2.058000,759232000
2005-01-24,2.072000,2.150000,2.013000,2.111000,2.111000,812590000
2005-01-31,2.122000,2.177000,1.726500,1.786000,1.786000,2344574000
2005-02-07,1.791000,1.840000,1.750000,1.789000,1.789000,809556000
2005-02-14,1.782500,1.831500,1.755000,1.765500,1.765500,544368000
2005-02-21,1.751000,1.769500,1.660000,1.749500,1.749500,632552000
2005-02-28,1.736000,1.815500,1.733500,1.792500,1.792500,593698000
2005-03-07,1.797000,1.821500,1.702500,1.737500,1.737500,593474000
2005-03-14,1.733500,1.742500,1.679000,1.708000,1.708000,520536000
2005-03-21,1.710500,1.731500,1.641000,1.644000,1.644000,464722000
2005-03-28,1.655000,1.735500,1.651000,1.700500,1.700500,487728000
2005-04-04,1.700000,1.767000,1.690500,1.730000,1.730000,487432000
2005-04-11,1.730000,1.750000,1.651000,1.651000,1.651000,474776000
2005-04-18,1.645000,1.694500,1.600500,1.652000,1.652000,736772000
2005-04-25,1.656500,1.699000,1.530000,1.618000,1.618000,1450478000
2005-05-02,1.615000,1.734500,1.605000,1.726000,1.726000,699258000
2005-05-09,1.720000,1.740000,1.677500,1.695000,1.695000,519028000
2005-05-16,1.701500,1.798500,1.696000,1.775000,1.775000,550804000
2005-05-23,1.778500,1.801000,1.756500,1.775000,1.775000,471262000
2005-05-30,1.768000,1.849500,1.764500,1.779500,1.779500,497092000
2005-06-06,1.777000,1.810000,1.720000,1.747500,1.747500,428408000
2005-06-13,1.733500,1.803500,1.726000,1.765500,1.765500,434596000
2005-06-20,1.752500,1.798500,1.744000,1.751000,1.751000,420788000
2005-06-27,1.745500,1.752500,1.639500,1.645500,1.645500,501046000
2005-07-04,1.675000,1.737500,1.672500,1.737000,1.737000,405618000
2005-07-11,1.736000,1.875000,1.730000,1.857500,1.857500,506346000
2005-07-18,1.847500,1.987500,1.834500,1.897500,1.897500,642180000
2005-07-25,1.900000,2.290500,1.886000,2.257500,2.257500,2039224000
2005-08-01,2.244000,2.348500,2.217500,2.263500,2.263500,654496000
2005-08-08,2.266000,2.322000,2.202500,2.210000,2.210000,625672000
2005-08-15,2.196500,2.267500,2.166500,2.186000,2.186000,382576000
2005-08-22,2.180500,2.213500,2.104000,2.118500,2.118500,414332000
2005-08-29,2.095500,2.150000,2.052000,2.075500,2.075500,387068000
2005-09-05,2.077500,2.215000,2.075500,2.147500,2.147500,425084000
2005-09-12,2.136000,2.248000,2.106000,2.140000,2.140000,566044000
2005-09-19,2.131500,2.171500,2.025000,2.109500,2.109500,424190000
2005-09-26,2.122500,2.292000,2.120000,2.265000,2.265000,509568000
2005-10-03,2.266500,2.329500,2.166500,2.186000,2.186000,567776000
2005-10-10,2.191000,2.219000,2.095000,2.189500,2.189500,461934000
2005-10-17,2.181500,2.303500,2.181000,2.297500,2.297500,535304000
2005-10-24,2.306000,2.350000,1.936000,1.947500,1.947500,1238976000
2005-10-31,1.967500,2.100000,1.956000,2.054500,2.054500,569416000
